paper_id,title,authors,year,venue,task,modalities,trf_or_lagged_design,partial_correlation,residualize_input,residualize_embedding,residualize_q,residualize_k,residualize_v,condition_attention,acoustic_covariates,brain_data,teacher_model,hard_negative_control,code_available,closest_overlap,novelty_risk,url,notes
manual-6c05f5a0be,Null It Out: Guarding Protected Attributes by Iterative Nullspace Projection,Shauli Ravfogel et al.,2020,ACL,nuisance_projection,EEG-audio,False,False,True,True,False,False,False,False,False,True,False,False,False,nuisance_projection,high,https://aclanthology.org/2020.acl-main.647/,"Iterative null-space projection removes linearly decodable attributes; close statistical ancestor, not EEG or attention."
W3138636771,Orthogonal Projection Loss,Kanchana Ranasinghe; Muzammal Naseer; Munawar Hayat; Salman Khan; Fahad Shahbaz Khan,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,https://doi.org/10.1109/iccv48922.2021.01211,"Deep neural networks have achieved remarkable performance on a range of classification tasks, with softmax crossentropy (CE) loss emerging as the de-facto objective function. The CE loss encourages features of a class to have a higher projection score on the true class-vector compared to the negative classes. However, this is a relative constraint and does not explicitly force different class features to be well-sepa"
manual-b7913ffb4f,Better Hit the Nail on the Head than Beat around the Bush: Removing Protected Attributes with a Single Projection,Pantea Haghighatkhah et al.,2022,EMNLP,nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,https://aclanthology.org/2022.emnlp-main.575/,Single targeted projection and random-projection control directly motivate TPA specificity tests.
W4309805490,Disentangled Representation Learning,Xin Wang; Hong Chen; Si'ao Tang; Zihao Wu; Wenwu Zhu,2022,arXiv (Cornell University),nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,http://arxiv.org/abs/2211.11695,"Disentangled Representation Learning (DRL) aims to learn a model capable of identifying and disentangling the underlying factors hidden in the observable data in representation form. The process of separating underlying factors of variation into variables with semantic meaning benefits in learning explainable representations of data, which imitates the meaningful understanding process of humans when observing an obje"
manual-723d1cd244,Learning Invariant Representations with Missing Data,Mark Goldstein et al.,2022,CLeaR,nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,https://proceedings.mlr.press/v177/goldstein22a.html,Observed nuisance labels and missingness matter for invariant representation guarantees.
manual-c0c40d3282,LEACE: Perfect linear concept erasure in closed form,Nora Belrose et al.,2023,NeurIPS,nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,https://openreview.net/forum?id=awIpKpwTwF,Closed-form least-squares concept erasure shows projection is established and may be oblique rather than orthogonal.
W2914527946,Orthogonal statistical learning,Dylan J. Foster; Vasilis Syrgkanis,2023,The Annals of Statistics,nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,https://doi.org/10.1214/23-aos2258,We provide nonasymptotic excess risk guarantees for statistical learning in a setting where the population risk with respect to which we evaluate the target parameter depends on an unknown nuisance parameter that must be estimated from data. We analyze a two-stage sample splitting meta-algorithm that takes as input arbitrary estimation algorithms for the target parameter and nuisance parameter. We show that if the po
manual-5bbfef1b6f,Removing Spurious Concepts from Neural Network Representations via Joint Subspace Estimation,Floris Holstege; Bram Wouters; Noud Van Giersbergen; Cees Diks,2024,ICML,nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,https://proceedings.mlr.press/v235/holstege24a.html,Jointly estimates orthogonal task and spurious subspaces; close control for random-subspace explanations.
manual-5c87e1b379,Improving Causal Interventions in Amnesic Probing with Mean Projection or LEACE,Alicja Dobrzeniecka et al.,2025,Findings ACL,nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,False,False,False,nuisance_projection,high,https://aclanthology.org/2025.findings-acl.674/,Shows INLP can introduce random modifications and evaluates more targeted erasure.
manual-79eede2192,A framework for analyzing concept representations in neural models,Burin Naowarat et al.,2026,CoNLL,nuisance_projection,representation,False,False,True,True,False,False,False,False,False,False,True,False,False,nuisance_projection,high,https://aclanthology.org/2026.conll-main.34/,HuBERT phone/speaker subspaces show erasure generalization and containment failures.
W2889198316,Analyzing EEG Signals in Auditory Speech Comprehension Using Temporal Response Functions and Generalized Additive Models,Kimberley Mulder; Louis ten Bosch; Lou Boves,2018,,trf_speech_eeg,EEG-audio,True,False,False,False,False,False,False,False,True,True,False,False,False,trf_speech_eeg,medium,https://doi.org/10.21437/interspeech.2018-1676,Analyzing EEG signals recorded while participants are listening to continuous speech with the purpose of testing linguistic hypotheses is complicated by the fact that the signals simultaneously reflect exogenous acoustic excitation and endogenous linguistic processing.This makes it difficult to trace subtle differences that occur in mid-sentence position.We apply an analysis based on multivariate temporal response fu
